Acronym,SAT ID,Launch,(expected) EOL,"Satellite Programme",Orbit,Altitude,Longitude,Inclination,Ect,Sat Status,"Payload",Last update,Date
Meteor-3-5,280,33465,34196,"Meteor-3",DRIFT,1200 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, RMK-2, SM (Meteor-3), TOMS",2013-02-13 17:12:15,2013-02-13
Meteor-3-6,281,34359,35089,"Meteor-3",DRIFT,1210 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, PRARE, RMK-2, SM (Meteor-3), ScaRaB",2013-02-13 17:12:46,2013-02-13
Meteor-3M,282,37235,38812,"Meteor-3M",SunSync,1020 km, , ,09:15 asc,Inactive,"GGAK-M/KGI-4C, GGAK-M/MSGI-MKA, Klimat, MIVZA, MR-2000M1, MSU-E, MTVZA, OCS, SAGE-III, SFM-2",2015-07-28 19:11:58,2015-07-28
Meteor-M N1,283,40073,41905,"Meteor-3M",SunSync,826 km, , ,09:30 desc,Inactive,"GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, IKOR-M, KMSS, MSU-MR, MTVZA-GY, SSPD, Severjanin-M",2021-04-19 13:40:13,2021-04-19
Meteor-M N2,284,41828,44895,"Meteor-3M",SunSync,820 km, , ,09:30 asc,Operational,"GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, IKFS-2, IKOR-M, KMSS, MSU-MR, MTVZA-GY, SSPD, Severjanin-M",2023-02-07 20:22:35,2023-02-07
Meteor-MP N1,286,45626,48182,"Meteor-3M",SunSync,830 km, , ,15:30 asc,Planned,"ARMA-MP, ASAR (MP), GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, GORIZONT-MP, IKFS-3, MSU-MR-MP, MTVZA-GY-MP, SCAT-MP, SSPD, TGSP",2023-07-10 8:22:20,2023-07-10
Meteor-MP N2,287,45991,48548,"Meteor-3M",SunSync,830 km, , ,09:30 desc,Planned,"ARMA-MP, ASAR (MP), GGAK-E/GALS-E (Meteor), GGAK-E/SKIF-6 (Meteor), GGAK-M/RIMS-M, GORIZONT-MP, IKFS-3, IKOR-M, MSU-MR-MP, MTVZA-GY-MP, SCAT-MP, SSPD, TGSP",2023-07-10 8:29:27,2023-07-10
MTG-I1,289,44908,47452,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km,3.5 ° W, ,,Commissioning,"DCS (Meteosat), FCI, GEOS&R , LI, NGRM",2023-10-09 7:45:45,2023-10-09
MTG-I2,290,45991,48913,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km, , ,,Planned,"DCS (Meteosat), FCI, GEOS&R , LI, NGRM",2023-04-26 7:13:34,2023-04-26
MTG-I3,291,48182,51104,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km, , ,,Planned,"DCS (Meteosat), FCI, GEOS&R , LI, NGRM",2022-11-16 17:41:35,2022-11-16
MTG-I4,292,49643,52565,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km, , ,,Planned,"DCS (Meteosat), FCI, GEOS&R , LI, NGRM",2022-11-16 17:45:04,2022-11-16
MTG-S1,293,45260,48548,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km, , ,,Planned,"IRS, NGRM, Sentinel-4",2023-07-31 8:30:14,2023-07-31
MTG-S2,294,48913,51835,"Meteosat Third Generation (MTG) - “I” imaging, “S” sounding",GEO,35786 km, , ,,Planned,"IRS, NGRM, Sentinel-4",2022-11-16 18:00:42,2022-11-16
Meteosat-1,295,28452,29183,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:39:12,2021-03-11
Meteosat-2,296,29756,33574,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:40:27,2021-03-11
Meteosat-3,297,32309,33451,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:41:03,2021-03-11
Meteosat-4,298,32573,35011,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:43:00,2021-03-11
Meteosat-5,299,33299,35947,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:43:32,2021-03-11
Meteosat-6,300,34293,39199,"Meteosat First Generation",GEO,35786 km, , ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-11 13:44:30,2021-03-11
Meteosat-7 (IODC),301,39056,42767,"Meteosat First Generation",GEO,35786 km,58 ° E, ,,Inactive,"DCS (Meteosat), MVIRI",2021-03-16 1:16:35,2021-03-16
Meteosat-8,302,37496,42555,"Meteosat Second Generation (MSG)",GEO,35786 km,3.7 ° E, ,,Inactive,"DCS (Meteosat), GEOS&R , GERB, SEVIRI",2021-03-11 13:47:32,2021-03-11
Meteosat-9,303,38707,44652,"Meteosat Second Generation (MSG)",GEO,35786 km,3.5 ° E, ,,Inactive,"DCS (Meteosat), GEOS&R , GERB, SEVIRI",2022-10-17 13:52:51,2022-10-17
Meteosat-10,304,41095,47452,"Meteosat Second Generation (MSG)",GEO,35786 km,0.0 °, ,,Operational,"DCS (Meteosat), GEOS&R , GERB, SEVIRI",2023-03-29 9:31:16,2023-03-29
Meteosat-11,305,42200,48548,"Meteosat Second Generation (MSG)",GEO,35786 km,9.5 ° E, ,,Operational,"DCS (Meteosat), GEOS&R , GERB, SEVIRI",2023-04-03 13:52:48,2023-04-03
Metop-A,306,39009,44515,"EUMETSAT Polar System",SunSync,827 km, , ,07:50 desc,Inactive,"A-DCS, AMSU-A, ASCAT, AVHRR/3, GOME-2, GRAS, HIRS/4, IASI, MHS, S&RSAT, SEM/MEPED, SEM/TED",2022-12-19 11:42:44,2022-12-19
Metop-B,307,41169,45260,"EUMETSAT Polar System",SunSync,827 km, , ,09:31 desc,Operational,"A-DCS, AMSU-A, ASCAT, AVHRR/3, GOME-2, GRAS, HIRS/4, IASI, MHS, S&RSAT, SEM/MEPED, SEM/TED",2023-07-31 8:55:24,2023-07-31
Metop-C,308,43411,46356,"EUMETSAT Polar System",SunSync,817 km, , ,09:31 desc,Operational,"A-DCS, AMSU-A, ASCAT, AVHRR/3, GOME-2, GRAS, IASI, MHS, SEM/MEPED, SEM/TED",2022-12-19 11:37:55,2022-12-19
OrbView-1/MicroLab,309,34790,36619,"Orbview-1 (former: MicroLab)",DRIFT,785 km, ,70°,,Inactive,"GPS/MET, OTD",2015-08-24 18:58:23,2015-08-24
Monitor-E,310,38590,39675,"Monitor - Experimental",SunSync,540 km, , ,10:30 asc,Inactive,"MS (Monitor), PAN (Monitor-E)",2015-07-28 19:52:00,2015-07-28
MOS-1,311,31827,35032,"Marine Observatory Satellite",SunSync,908 km, , ,10:15 desc,Inactive,"MESSR, MSR, VTIR",2015-07-28 19:53:25,2015-07-28
MOS-1B,312,32911,35180,"Marine Observatory Satellite",SunSync,908 km, , ,10:35 desc,Inactive,"MESSR, MSR, VTIR",2013-02-22 17:12:36,2013-02-22
NigeriaSat-1,313,37891,40862,"NigeriaSat",SunSync,686 km, , ,10:30 asc,Inactive,"SLIM6",2015-07-28 19:54:35,2015-07-28
NigeriaSat-2,314,40772,44895,"NigeriaSat",SunSync,718 km, , ,10:30 asc,Operational,"MRI, VHRI",2022-10-24 10:24:29,2022-10-24
Nimbus-1,315,23617,23643,"Nimbus",SunSync,634 km, , ,12:00 desc,Inactive,"APT, AVCS, HRIR",2015-07-28 19:58:16,2015-07-28
Nimbus-2,316,24242,25220,"Nimbus",SunSync,1140 km, , ,11:30 desc,Inactive,"APT, AVCS, HRIR, MRIR",2015-07-28 20:00:06,2015-07-28
Nimbus-3,317,25306,26320,"Nimbus",SunSync,1100 km, , ,12:00 desc,Inactive,"HRIR, IDCS, IRIS-B, IRLS, MRIR, MUSE, SIRS-A",2015-07-28 20:01:29,2015-07-28
Nimbus-4,318,25666,29494,"Nimbus",SunSync,1100 km, , ,12:00 desc,Inactive,"BUV, FWS, IDCS, IRIS-D, IRLS, MUSE, SCR (Nimbus-4), SIRS-B, THIR",2015-07-28 20:15:28,2015-07-28
Nimbus-5,319,26643,30404,"Nimbus",SunSync,1100 km, , ,12:00 desc,Inactive,"ESMR (Nimbus-5), ITPR, NEMS, SCMR, SCR (Nimbus-5), THIR",2015-07-28 20:16:32,2015-07-28
Nimbus-6,320,27557,30404,"Nimbus",SunSync,1100 km, , ,12:00 desc,Inactive,"ERB, ESMR (Nimbus-6), HIRS, LRIR, PMR, SCAMS, THIR, TWERLE",2015-07-28 20:17:27,2015-07-28
Nimbus-7,321,28787,34547,"Nimbus",SunSync,947 km, , ,12:00 desc,Inactive,"CZCS, ERB, LIMS, SAM-II, SAMS, SBUV, SMMR, THIR, TOMS",2015-07-28 20:18:22,2015-07-28
NMP-EO-1,322,36851,42824,"New Millennium Program - Earth Observing -1",SunSync,691 km, , ,09:45 desc,Inactive,"ALI, Hyperion, LAC",2017-07-19 13:26:18,2017-07-19
NOAA-1,323,25913,26164,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1450 km, , ,13:30 asc,Inactive,"APT, AVCS, FPR, SPM, SR",2015-07-28 20:20:45,2015-07-28
NOAA-2,324,26585,27424,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1450 km, , ,14:30 asc,Inactive,"SPM, SR, VHRR (NOAA), VTPR",2015-07-28 20:34:44,2015-07-28
NOAA-3,325,26974,28003,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1500 km, , ,14:30 asc,Inactive,"SPM, SR, VHRR (NOAA), VTPR",2015-07-28 20:35:25,2015-07-28
NOAA-4,326,27348,28812,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1450 km, , ,14:30 asc,Inactive,"SPM, SR, VHRR (NOAA), VTPR",2015-07-28 20:36:09,2015-07-28
NOAA-5,327,27970,29052,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1510 km, , ,14:30 asc,Inactive,"SPM, SR, VHRR (NOAA), VTPR",2015-07-28 20:37:15,2015-07-28
NOAA-6,328,29033,31867,"National Oceanic and Atmospheric Administration - 4th generation",SunSync,840 km, , ,07:30 desc,Inactive,"AVHRR, Argos, HIRS/2, MSU, SEM/MEPED, SEM/TED, SSU",2015-07-28 20:38:17,2015-07-28
NOAA-7,329,29760,31570,"National Oceanic and Atmospheric Administration - 4th generation",SunSync,860 km, , ,14:30 asc,Inactive,"AVHRR/2, Argos, HIRS/2, MSU, SEM/MEPED, SEM/TED, SSU",2015-07-28 20:39:21,2015-07-28
NOAA-8,330,30403,31410,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,820 km, , ,07:30 desc,Inactive,"AVHRR, Argos, HIRS/2, MSU, S&RSAT, SEM/MEPED, SEM/TED, SSU",2015-07-28 20:40:30,2015-07-28
NOAA-9,331,31028,35839,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,850 km, , ,14:30 asc,Inactive,"AVHRR/2, Argos, ERBE (NOAA), HIRS/2, MSU, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED, SSU",2015-07-28 20:41:35,2015-07-28
NOAA-10,332,31672,37133,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,810 km, , ,07:30 desc,Inactive,"AVHRR, Argos, ERBE (NOAA), HIRS/2, MSU, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2020-03-23 17:31:36,2020-03-23
NOAA-11,333,32410,38154,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,843 km, , ,14:10 asc,Inactive,"AVHRR/2, Argos, HIRS/2, MSU, S&RSAT, SBUV/2, SSU",2021-03-19 7:14:50,2021-03-19
NOAA-12,334,33372,39304,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,804 km, , ,05:10 desc,Inactive,"AVHRR/2, Argos, HIRS/2, MSU, SEM/MEPED, SEM/TED",2020-03-23 17:32:23,2020-03-23
NOAA-13,335,34190,34202,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,820 km, , ,14:00 asc,Inactive,"AVHRR/2, Argos, HIRS/2, MSU, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2021-03-19 0:49:31,2021-03-19
NOAA-14,336,34698,39225,"NOAA 4th generation / Polar Operational Environmental Satellites",SunSync,844 km, , ,09:30 desc,Inactive,"AVHRR/2, Argos, HIRS/2, MSU, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED, SSU",2019-11-29 22:46:29,2019-11-29
NOAA-15,337,35928,45260,"NOAA 5th generation / Polar Operational Environmental Satellites",SunSync,813 km, , ,07:29 desc,Operational,"AMSU-A, AMSU-B, AVHRR/3, DCS/2, HIRS/3, S&RSAT, SEM/MEPED, SEM/TED",2023-10-12 7:54:57,2023-10-12
NOAA-16,338,36790,41799,"NOAA 5th generation / Polar Operational Environmental Satellites",SunSync,849 km, , ,09:01 desc,Inactive,"AMSU-A, AMSU-B, AVHRR/3, DCS/2, HIRS/3, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2019-10-25 17:35:56,2019-10-25
NOAA-17,339,37431,41374,"NOAA 5th generation / Polar Operational Environmental Satellites",SunSync,810 km, , ,07:03 desc,Inactive,"AMSU-A, AMSU-B, AVHRR/3, DCS/2, HIRS/3, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2019-10-25 18:26:54,2019-10-25
NOAA-18,340,38492,45260,"NOAA 5th generation / Polar Operational Environmental Satellites",SunSync,854 km, , ,10:34 desc,Operational,"AMSU-A, AVHRR/3, DCS/2, HIRS/4, MHS, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2023-10-12 7:55:48,2023-10-12
NOAA-19,341,39850,45260,"NOAA 5th generation / Polar Operational Environmental Satellites",SunSync,870 km, , ,08:22 desc,Operational,"A-DCS, AMSU-A, AVHRR/3, HIRS/4, MHS, S&RSAT, SBUV/2, SEM/MEPED, SEM/TED",2023-10-12 7:55:27,2023-10-12
SNPP,342,40844,45626,"Joint Polar Satellite System",SunSync,833 km, , ,13:25 asc,Operational,"ATMS, CERES, CrIS, OMPS-limb, OMPS-nadir, VIIRS",2023-08-18 13:41:28,2023-08-18
OceanSat-1 (IRS-P4),343,36306,40398,"Satellite for the Ocean",SunSync,723 km, , ,12:00 desc,Inactive,"MSMR, OCM (OceanSat-1)",2019-10-29 15:53:58,2019-10-29
OceanSat-2,344,40079,44895,"Satellite for the Ocean",SunSync,730 km, , ,11:53 desc,Inactive,"OCM (OceanSat-2), OSCAT, ROSA (OceanSat)",2023-07-24 9:09:20,2023-07-24
OceanSat-3 (EOS-06),345,44891,47452,"Satellite for the Ocean",SunSync,723 km, , ,12:00 desc,Commissioning,"Argos-4, OCM (OceanSat-3), OSCAT-3, SSTM",2023-07-03 15:07:36,2023-07-03
OCO,346,39868,39868,"Orbiting Carbon Observatory",SunSync,705 km, , ,13:15 asc,Lost at launch,"OCO",2015-07-28 20:47:53,2015-07-28
OCO-2,347,41822,45991,"Orbiting Carbon Observatory",SunSync,705 km, , ,13:30 asc,Operational,"OCO",2021-06-14 11:34:56,2021-06-14
Odin,348,36942,44895,"Odin",SunSync,552 km, , ,06:42 desc,Operational,"OSIRIS, SMR",2022-10-24 10:28:31,2022-10-24
Okean-O-1,349,36358,36784,"Okean-O",DRIFT,648 km, ,82.5°,,Inactive,"Delta-2D, Kondor-2, MSU-M, MSU-SK (Okean), MSU-V, R225, R600, RLSBO, Trasser",2015-07-28 20:50:27,2015-07-28
Okean-O1-1,350,31622,32353,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:49:33,2019-10-22
Okean-O1-2,351,31974,32705,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:50:18,2019-10-22
Okean-O1-3,352,32329,33059,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean), Trasser",2019-10-22 1:51:18,2019-10-22
Okean-O1-4,353,32668,32668,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:51:55,2019-10-22
Okean-O1-5,354,32932,33662,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:52:31,2019-10-22
Okean-O1-6,355,33393,34124,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:53:01,2019-10-22
Okean-O1-7,356,34618,35349,"Okean Operational 1",DRIFT,660 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:53:32,2019-10-22
Ørsted,357,36214,41639,"Ørsted (Oersted)",DRIFT,750 km, ,96.5°,,Inactive,"ASC, CPD, FVM, OVM, TRSR (Ørsted)",2017-07-22 17:23:30,2017-07-22
PACE,358,45260,46356,"Pre-ACE (ACE = Aerosol-Cloud Ecosystems)",SunSync,676 km, , ,12:00 desc,Planned,"OCI, Polarimeters",2023-09-21 15:20:20,2023-09-21
PARASOL,359,38339,41626,"Polarisation et Anisotropie des Réflectances au sommet de l'Atmosphère, couplées avec un Satellite d'Observation emportant un Lidar",SunSync,700 km, , ,15:20 asc,Inactive,"POLDER",2015-07-28 21:35:09,2015-07-28
SEOSAR/Paz,360,43153,44895,"Satélite Español de Observación SAR (also Paz)",SunSync,514 km, , ,06:00 asc,Operational,"LRR (DLR), ROHPP, SAR-X (Paz (SEOSAR))",2022-11-03 14:45:13,2022-11-03
Pléiades-1A,361,40894,45260,"Pléiades",SunSync,705 km, , ,10:30 desc,Operational,"HiRI",2022-10-24 10:30:52,2022-10-24
Pléiades-1B,362,41245,45260,"Pléiades",SunSync,694 km, , ,10:30 desc,Operational,"HiRI",2022-10-24 10:31:46,2022-10-24
PRISMA,363,43546,45260,"PRecursore IperSpettrale della Missione Applicativa",SunSync,615 km, , ,10:30 desc,Operational,"HYC, PAN",2019-07-06 1:00:47,2019-07-06
PROBA-1,364,37186,44895,"Project for On-Board Autonomy",SunSync,615 km, , ,07:30 desc,Operational,"CHRIS, SREM-dose, SREM-particles",2022-10-28 9:32:37,2022-10-28
QuikSCAT,365,36330,40140,"Quick Scatterometer Mission",SunSync,803 km, , ,06:00 asc,Inactive,"SeaWinds",2019-10-22 16:50:07,2019-10-22
RadarSat-1,366,35007,41362,"RadarSat",SunSync,798 km, , ,06:00 desc,Inactive,"SAR (RadarSat-1)",2019-10-27 14:02:59,2019-10-27
RadarSat-2,367,39430,45260,"RadarSat",SunSync,798 km, , ,06:00 desc,Operational,"SAR (RadarSat-1)",2022-10-24 10:33:00,2022-10-24
RapidEye (5 sats),368,39689,43890,"RapidEye",SunSync,630 km, , ,11:00 desc,Presumably inactive,"REIS",2022-01-02 22:16:02,2022-01-02
RASAT,369,40772,44895,"Remote Sensing Satellite",SunSync,690 km, , ,10:15 asc,Operational,"OIS",2022-10-24 10:43:36,2022-10-24
RCM-1,370,43628,45991,"RadarSat Constellation Mission",SunSync,592 km, , ,06:00 desc,Operational,"AIS, SAR RCM",2022-10-03 8:12:28,2022-10-03
ResourceSat-1 (IRS-P6),373,37911,41615,"Satellite for Earth Resources",SunSync,817 km, , ,10:42 desc,Inactive,"AWiFS, LISS-3 (ResourceSat), LISS-4",2022-10-24 10:45:46,2022-10-24
ResourceSat-2,374,40653,44895,"Satellite for Earth Resources",SunSync,817 km, , ,10:33 desc,Operational,"AWiFS, LISS-3 (ResourceSat), LISS-4",2022-10-24 10:47:29,2022-10-24
Resurs-DK,375,38883,42338,"Resurs-P",DRIFT,570 km, ,70.4°,,Inactive,"ARINA, Geoton-1, PAMELA",2018-08-12 11:18:14,2018-08-12
Resurs-O1-1,376,31323,31727,"Resurs Operational - 1",SunSync,620 km, , ,10:15 asc,Inactive,"MSU-E (Resurs-O1), MSU-SK (Resurs), SAR-Travers",2015-07-29 11:09:40,2015-07-29
Resurs-O1-2,377,32253,36312,"Resurs Operational - 1",SunSync,650 km, , ,10:15 asc,Inactive,"MSU-E (Resurs-O1), MSU-SK (Resurs)",2015-07-29 11:10:28,2015-07-29
Resurs-O1-3,378,34642,37026,"Resurs Operational - 1",SunSync,675 km, , ,10:15 asc,Inactive,"MSU-E (Resurs-O1), MSU-SK (Resurs)",2015-07-29 11:11:06,2015-07-29
Resurs-O1-4,379,35986,37271,"Resurs Operational - 1",SunSync,835 km, , ,10:15 asc,Inactive,"MP-900B, MSU-E (Resurs-O1), MSU-SK1, ScaRaB",2015-07-29 11:11:46,2015-07-29
RISAT-1,380,41025,42825,"Radar Imaging Satellite",SunSync,546 km, , ,06:00 desc,Inactive,"SAR-C (RISAT)",2020-01-04 13:53:08,2020-01-04
RISAT-2,381,39923,44895,"Radar Imaging Satellite",DRIFT,440 km, ,41°,,Operational,"SAR-X (RISAT-2)",2022-10-24 10:54:03,2022-10-24
SAC-A,382,36133,36387,"Satélite de Aplicaciones Cientificas",DRIFT,395 km, ,51.6°,,Inactive,"",2015-07-29 11:16:35,2015-07-29
SAC-B,383,35373,35373,"Satélite de Aplicaciones Cientificas",DRIFT,550 km, ,38°,,Lost at launch,"CUBIC, GXRE/GRaBS, GXRE/SOXS, HXRS, ISENA",2015-07-29 11:19:54,2015-07-29
SAC-C,384,36851,41501,"Satélite de Aplicaciones Cientificas",SunSync,705 km, , ,10:20 desc,Inactive,"DCS (SAC), FVM, GOLPE, HRTC, HSTC, ICARE, IST, MMRS, OVM",2015-07-29 11:21:01,2015-07-29
SAC-D,385,40704,42162,"Satélite de Aplicaciones Cientificas",SunSync,661 km, , ,06:00 desc,Inactive,"Aquarius, DCS (SAC), HSC, ICARE, MWR (SAC-D), NIRST, ROSA",2017-01-05 1:08:23,2017-01-05
SAOCOM-1A,386,43381,44895,"SAtélite Argentino de Observación COn Microondas",SunSync,620 km, , ,06:00 asc,Operational,"SAR-L",2019-10-27 12:56:58,2019-10-27
SAOCOM-1B,387,44073,45626,"SAtélite Argentino de Observación COn Microondas",SunSync,620 km, , ,06:00 asc,Operational,"SAR-L",2021-07-13 14:36:38,2021-07-13
SAOCOM-2A,388,45626,47452,"SAtélite Argentino de Observación COn Microondas",SunSync,620 km, , ,06:00 asc,Planned,"SAR-L",2021-11-25 15:14:20,2021-11-25
SAOCOM-2B,389,45991,47817,"SAtélite Argentino de Observación COn Microondas",SunSync,620 km, , ,06:00 asc,Planned,"SAR-L",2021-11-25 15:15:21,2021-11-25
SARAL,390,41330,45260,"Satellite with ARgos and ALtiKa",SunSync,800 km, , ,05:56 asc,Operational,"A-DCS, AltiKa, DORIS, LRA (CNES)",2023-05-05 13:31:49,2023-05-05
SCD-1,391,34009,44895,"Satélite de Coleta de Dados",DRIFT,750 km, ,25°,,Operational,"DCS (CBERS)",2022-10-24 11:08:17,2022-10-24
SCD-2,392,36090,44895,"Satélite de Coleta de Dados",DRIFT,750 km, ,25°,,Operational,"DCS (CBERS)",2022-10-24 11:08:32,2022-10-24
SCISAT-1,393,37846,45260,"Science Satellite / Atmospheric Chemistry Experiment",DRIFT,650 km, ,73.9°,,Operational,"ACE-FTS, MAESTRO",2022-10-03 8:29:59,2022-10-03
SeaSat,394,28668,28773,"SeaSat",DRIFT,785 km, ,108°,,Inactive,"ALT (SeaSat), LRR (NASA), SAR, SASS, SMMR, VIRR (Seasat)",2015-07-29 11:27:26,2015-07-29
OrbView-2/SeaStar,395,35643,40523,"OrbView-2 (former: SeaStar)",SunSync,705 km, , ,12:00 desc,Inactive,"SeaWiFS",2015-07-28 20:59:34,2015-07-28
Sentinel-1A,396,41732,44895,"Sentinel-1",SunSync,693 km, , ,06:00 desc,Operational,"SAR-C (Sentinel-1)",2022-10-24 13:17:50,2022-10-24
Sentinel-1B,397,42485,44165,"Sentinel-1",SunSync,693 km, , ,06:00 desc,Inactive,"SAR-C (Sentinel-1)",2022-08-01 8:46:05,2022-08-01
Sentinel-2A,398,42178,44895,"Sentinel-2",SunSync,786 km, , ,10:30 desc,Operational,"MSI (Sentinel-2A)",2022-10-24 13:19:40,2022-10-24
Sentinel-2B,399,42801,45260,"Sentinel-2",SunSync,786 km, , ,10:30 desc,Operational,"MSI (Sentinel-2A)",2019-11-27 17:58:22,2019-11-27
Sentinel-3A,400,42416,44895,"Sentinel-3",SunSync,814.5 km, , ,10:00 desc,Operational,"DORIS, GPS (ESA), LRR (ESA), MWR (Sentinel-3), OLCI , SLSTR, SRAL",2020-08-21 13:22:25,2020-08-21
Sentinel-5P,402,43021,45260,"Sentinel-5 precursor",SunSync,824 km, , ,13:30 asc,Operational,"TROPOMI",2023-06-15 17:08:13,2023-06-15
SICH-1,403,34942,37239,"Okean Operational 1",DRIFT,650 km, ,82.5°,,Inactive,"Kondor, MSU-SK (Okean), MWR, RLSBO, RM-08 (Okean)",2019-10-22 1:54:11,2019-10-22
SICH-1M,404,38345,38822,"Okean Operational 1",DRIFT,650 km, ,82.5°,,Inactive,"MSU-EU, MTVZA-OK (MW), MTVZA-OK (optical), RLSBO, RM-08 (Okean)",2019-10-22 1:54:37,2019-10-22
SICH-2,405,40772,41255,"SICH 2",SunSync,700 km, , ,10:50 desc,Inactive,"IREI, MBEI, Potential",2017-01-05 1:06:33,2017-01-05
SMAP,406,42035,46356,"Soil Moisture Active-Passive",SunSync,685 km, , ,06:00 desc,Operational,"SMAP",2022-09-26 10:21:26,2022-09-26
SMM,407,29265,32836,"Solar Maximum Mission",DRIFT,510 km, ,28.5°,,Inactive,"ACRIM-I, CP, GRS, HXIS, HXRBS, UVSP, XRP",2015-07-29 11:53:50,2015-07-29
SMOS,408,40119,45626,"Soil Moisture and Ocean Salinity",SunSync,755 km, , ,06:00 asc,Operational,"GPS (ESA), MIRAS, STA",2022-12-05 8:13:04,2022-12-05
SMS-1,409,27166,29607,"Synchronous Meteorological Satellite",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VISSR",2015-07-29 11:55:25,2015-07-29
SMS-2,410,27431,30168,"Synchronous Meteorological Satellite",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VISSR",2015-07-29 11:56:12,2015-07-29
SORCE,411,37646,43886,"Solar Radiation and Climate Experiment",DRIFT,640 km, ,40°,,Inactive,"SIM, SOLSTICE, TIM , XPS",2020-04-12 10:28:08,2020-04-12
SPOT-1,412,31465,37835,"Satellite Pour l’Observation de la Terre",SunSync,822 km, , ,10:30 desc,Inactive,"HRV",2015-07-29 12:04:36,2015-07-29
SPOT-2,413,32895,39995,"Satellite Pour l’Observation de la Terre",SunSync,822 km, , ,10:30 desc,Inactive,"DORIS, HRV",2015-07-29 12:09:06,2015-07-29
SPOT-3,414,34238,35383,"Satellite Pour l’Observation de la Terre",SunSync,822 km, , ,10:30 desc,Inactive,"DORIS, HRV, POAM",2015-07-29 12:09:46,2015-07-29
SPOT-4,415,35878,41285,"Satellite Pour l’Observation de la Terre",SunSync,832 km, , ,10:30 desc,Inactive,"DORIS, HRVIR, PASTEC, POAM, Végétation",2017-01-05 1:21:03,2017-01-05
